id,Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит
215379,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5
215380,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7
215381,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5
215382,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6
215383,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4
215384,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксесуары,2,3,8,3
215385,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4
215386,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5
215387,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксесуары,5,0,3,4
215388,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2
215389,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7
215390,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксесуары,6,4,2,5
215391,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксесуары,3,1,2,1
215392,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4
215393,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7
215394,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4
215395,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5
215396,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4
215397,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3
215398,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3
215399,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6
215400,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2
215401,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксесуары,2,3,3,4
215402,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6
215403,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5
215404,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3
215405,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4
215406,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6
215407,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6
215408,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2
215409,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5
215410,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1
215411,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4
215412,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4
215413,Снизилась,премиум,да,4.0,3,759,0.23,Косметика и аксесуары,1,4,5,5
215414,Снизилась,премиум,да,4.0,4,768,0.32,Кухонная посуда,2,8,4,4
215415,Снизилась,стандарт,да,2.4,3,720,0.32,Домашний текстиль,2,6,3,3
215416,Снизилась,стандарт,да,4.2,4,219,0.24,Товары для детей,2,5,7,8
215417,Снизилась,премиум,да,4.1,5,377,0.24,Товары для детей,3,2,2,3
215418,Снизилась,стандарт,нет,1.7,4,472,0.94,Домашний текстиль,2,6,4,3
215419,Снизилась,премиум,да,3.4,4,806,0.93,Домашний текстиль,3,5,8,6
215420,Снизилась,стандарт,да,3.5,5,449,0.35,Домашний текстиль,1,9,2,2
215421,Снизилась,премиум,нет,4.0,5,523,0.94,Техника для красоты и здоровья,1,10,7,5
215422,Снизилась,стандарт,да,4.2,4,503,0.25,Товары для детей,2,3,1,6
215423,Снизилась,стандарт,да,3.5,4,515,0.29,Косметика и аксесуары,1,4,4,1
215424,Снизилась,премиум,да,3.8,3,813,0.36,Домашний текстиль,3,3,2,2
215425,Снизилась,стандарт,да,4.1,4,249,0.28,Кухонная посуда,2,6,1,4
215426,Снизилась,премиум,да,2.7,4,829,0.22,Косметика и аксесуары,3,5,4,5
215427,Снизилась,стандарт,нет,2.4,4,186,0.4,Косметика и аксесуары,3,6,7,6
215428,Снизилась,стандарт,нет,4.0,3,336,0.9,Домашний текстиль,2,7,2,6
215429,Снизилась,премиум,нет,0.9,4,690,0.24,Домашний текстиль,2,5,7,4
215430,Снизилась,стандарт,да,2.9,4,824,0.29,Кухонная посуда,2,2,5,3
215431,Снизилась,премиум,да,3.9,4,666,0.21,Кухонная посуда,3,3,6,7
215432,Снизилась,стандарт,нет,4.1,4,377,0.24,Товары для детей,3,3,2,1
215433,Снизилась,стандарт,да,4.0,4,753,0.89,Товары для детей,2,8,3,2
215434,Снизилась,стандарт,да,3.9,4,674,0.21,Домашний текстиль,3,5,7,6
215435,Снизилась,премиум,да,4.8,4,875,0.35,Товары для детей,2,2,5,9
215436,Снизилась,стандарт,да,4.6,3,844,0.93,Товары для детей,3,8,4,2
215437,Снизилась,премиум,да,2.4,3,602,0.32,Косметика и аксесуары,2,5,3,3
215438,Снизилась,стандарт,да,4.0,5,855,0.3,Кухонная посуда,2,6,2,7
215439,Снизилась,премиум,нет,3.4,5,448,0.28,Товары для детей,4,2,2,7
215440,Снизилась,стандарт,нет,3.8,5,344,0.4,Товары для детей,3,3,8,3
215441,Снизилась,стандарт,да,4.1,4,922,0.29,Товары для детей,6,7,1,5
215442,Снизилась,стандарт,да,2.4,4,298,0.89,Домашний текстиль,6,3,2,3
215443,Снизилась,премиум,да,3.1,4,893,0.24,Кухонная посуда,2,4,3,2
215444,Снизилась,стандарт,да,3.1,5,881,0.29,Кухонная посуда,3,5,2,2
215445,Снизилась,стандарт,нет,4.0,5,372,0.99,Косметика и аксесуары,1,6,6,5
215446,Снизилась,стандарт,да,3.5,4,788,0.32,Техника для красоты и здоровья,3,3,4,3
215447,Снизилась,стандарт,да,2.4,5,511,0.94,Товары для детей,3,2,3,3
215448,Снизилась,премиум,да,4.6,4,974,0.94,Домашний текстиль,4,3,3,7
215449,Снизилась,премиум,да,2.4,3,666,0.39,Кухонная посуда,3,5,2,3
215450,Снизилась,премиум,да,5.6,4,857,0.36,Кухонная посуда,3,4,6,5
215451,Снизилась,стандарт,да,3.9,3,1048,0.22,Товары для детей,4,5,4,5
215452,Снизилась,стандарт,да,3.8,4,756,0.9,Товары для детей,2,3,6,4
215453,Снизилась,премиум,да,2.4,3,506,0.22,Товары для детей,1,5,4,3
215454,Снизилась,премиум,да,4.6,3,759,0.36,Косметика и аксесуары,1,4,8,5
215455,Снизилась,премиум,да,4.0,3,937,0.22,Косметика и аксесуары,2,4,3,4
215456,Снизилась,стандарт,да,1.7,4,449,0.23,Косметика и аксесуары,3,4,4,5
215457,Снизилась,премиум,нет,4.6,5,764,0.32,Товары для детей,2,5,6,4
215458,Снизилась,стандарт,да,4.4,3,851,0.32,Косметика и аксесуары,3,3,4,6
215459,Снизилась,премиум,да,4.1,4,768,0.94,Кухонная посуда,2,8,7,6
215460,Снизилась,стандарт,да,3.5,3,720,0.3,Домашний текстиль,2,6,4,2
215461,Снизилась,стандарт,да,5.6,4,219,0.39,Товары для детей,2,5,2,1
215462,Снизилась,премиум,да,5.6,5,377,0.36,Товары для детей,3,2,5,3
215463,Снизилась,стандарт,нет,3.1,4,472,0.99,Домашний текстиль,2,6,3,3
215464,Снизилась,премиум,да,2.4,4,806,0.25,Домашний текстиль,3,5,3,8
215465,Снизилась,стандарт,да,3.5,5,449,0.28,Домашний текстиль,1,9,2,2
215466,Снизилась,премиум,нет,2.4,5,523,0.3,Техника для красоты и здоровья,1,10,1,4
215467,Снизилась,стандарт,да,4.4,4,503,0.9,Мелкая бытовая техника и электроника,2,3,3,3
215468,Снизилась,стандарт,да,2.7,4,515,0.94,Косметика и аксесуары,1,4,2,2
215469,Снизилась,премиум,да,4.1,3,813,0.22,Домашний текстиль,3,3,4,5
215470,Снизилась,стандарт,да,3.9,4,249,0.93,Кухонная посуда,2,6,4,2
215471,Снизилась,премиум,да,3.8,4,829,0.3,Косметика и аксесуары,3,5,6,6
215472,Снизилась,стандарт,нет,2.4,4,186,0.93,Косметика и аксесуары,3,6,3,4
215473,Снизилась,стандарт,нет,4.1,3,336,0.22,Домашний текстиль,2,7,2,3
215474,Снизилась,премиум,нет,3.5,4,690,0.24,Домашний текстиль,2,5,8,5
215475,Снизилась,стандарт,да,4.8,4,824,0.33,Кухонная посуда,2,2,2,3
215476,Снизилась,премиум,да,3.1,4,666,0.39,Кухонная посуда,3,3,2,2
215477,Снизилась,стандарт,нет,1.7,4,377,0.23,Товары для детей,3,3,5,6
215478,Снизилась,стандарт,да,4.1,4,753,0.24,Товары для детей,2,8,2,2
215479,Снизилась,стандарт,да,3.4,4,674,0.28,Домашний текстиль,3,5,2,3
215480,Снизилась,премиум,да,4.4,4,875,0.94,Товары для детей,2,2,8,5
215481,Снизилась,стандарт,да,3.8,3,844,0.93,Товары для детей,3,8,4,2
215482,Снизилась,премиум,да,2.7,3,602,0.25,Косметика и аксесуары,2,5,5,2
215483,Снизилась,стандарт,да,3.9,5,855,0.99,Кухонная посуда,2,6,7,6
215484,Снизилась,премиум,нет,2.9,5,448,0.23,Товары для детей,4,2,6,3
215485,Снизилась,стандарт,да,3.5,4,720,0.99,Косметика и аксесуары,1,2,4,7
215486,Снизилась,премиум,да,3.5,4,1021,0.35,Косметика и аксесуары,2,4,3,5
215487,Снизилась,стандарт,да,4.8,3,627,0.98,Косметика и аксесуары,5,2,6,5
215488,Снизилась,стандарт,да,4.1,4,748,0.93,Кухонная посуда,3,4,2,4
215489,Снизилась,стандарт,нет,3.6,5,344,0.98,Товары для детей,3,3,4,4
215490,Снизилась,стандарт,да,4.1,4,922,0.35,Товары для детей,6,7,1,5
215491,Снизилась,стандарт,да,1.7,4,298,0.39,Домашний текстиль,6,3,6,4
215492,Снизилась,премиум,да,3.9,4,893,0.29,Кухонная посуда,2,4,3,6
215493,Снизилась,стандарт,да,4.0,5,881,0.99,Кухонная посуда,3,5,6,5
215494,Снизилась,стандарт,нет,5.6,5,372,0.23,Косметика и аксесуары,1,6,2,3
215495,Снизилась,стандарт,да,0.9,4,788,0.98,Техника для красоты и здоровья,3,3,3,3
215496,Снизилась,премиум,да,4.0,4,684,0.4,Техника для красоты и здоровья,1,6,2,4
215497,Снизилась,премиум,да,5.6,5,719,0.28,Мелкая бытовая техника и электроника,1,2,7,1
215498,Снизилась,стандарт,нет,3.4,4,891,0.35,Товары для детей,2,2,4,5
215499,Снизилась,стандарт,да,3.4,4,842,0.89,Техника для красоты и здоровья,2,8,8,3
215500,Снизилась,стандарт,да,3.5,4,573,0.4,Косметика и аксесуары,2,4,1,4
215501,Снизилась,премиум,да,3.5,3,1057,0.35,Домашний текстиль,4,3,5,6
215502,Снизилась,стандарт,да,3.1,4,342,0.98,Кухонная посуда,2,7,5,3
215503,Снизилась,стандарт,да,2.4,5,638,0.24,Домашний текстиль,1,5,2,1
215504,Снизилась,стандарт,да,3.4,5,458,0.9,Товары для детей,2,4,2,2
215505,Снизилась,стандарт,да,4.4,4,254,0.31,Товары для детей,2,3,5,3
215506,Снизилась,стандарт,нет,3.0,5,600,0.31,Домашний текстиль,1,7,5,4
215507,Снизилась,стандарт,да,3.8,3,871,0.32,Техника для красоты и здоровья,2,4,6,7
215508,Снизилась,стандарт,да,3.5,5,574,0.22,Домашний текстиль,3,2,2,2
215509,Снизилась,премиум,да,4.0,5,982,0.94,Мелкая бытовая техника и электроника,3,1,2,6
215510,Снизилась,стандарт,да,3.8,4,324,0.22,Техника для красоты и здоровья,2,7,2,2
215511,Снизилась,стандарт,да,3.9,5,373,0.33,Домашний текстиль,1,4,4,6
215512,Снизилась,стандарт,да,0.9,3,839,0.4,Косметика и аксесуары,3,3,7,7
215513,Снизилась,премиум,нет,3.4,4,845,0.22,Домашний текстиль,2,7,7,5
215514,Снизилась,премиум,да,1.5,4,475,0.21,Косметика и аксесуары,2,3,8,3
215515,Снизилась,стандарт,нет,4.0,3,509,0.94,Косметика и аксесуары,2,6,4,6
215516,Снизилась,стандарт,нет,4.4,4,252,0.98,Косметика и аксесуары,3,4,2,1
215517,Снизилась,премиум,нет,4.0,3,820,0.32,Косметика и аксесуары,4,4,2,5
215518,Снизилась,премиум,да,3.4,5,744,0.28,Товары для детей,3,2,2,6
215519,Снизилась,премиум,да,3.1,5,824,0.94,Товары для детей,2,2,4,4
215520,Снизилась,стандарт,нет,4.1,3,511,0.3,Кухонная посуда,2,6,4,6
215521,Снизилась,премиум,нет,1.5,3,541,0.9,Товары для детей,2,4,4,5
215522,Снизилась,премиум,да,2.9,3,1079,0.3,Товары для детей,4,5,5,9
215523,Снизилась,премиум,да,3.5,4,900,0.4,Кухонная посуда,2,3,9,6
215524,Снизилась,стандарт,да,3.0,3,474,0.23,Техника для красоты и здоровья,1,10,4,2
215525,Снизилась,стандарт,да,3.0,4,558,0.32,Товары для детей,1,2,4,1
215526,Снизилась,стандарт,да,3.1,4,572,0.29,Домашний текстиль,1,8,8,5
215527,Снизилась,премиум,да,4.1,5,957,0.94,Товары для детей,3,0,5,4
215528,Снизилась,стандарт,да,4.4,4,773,0.98,Мелкая бытовая техника и электроника,3,3,8,6
215529,Снизилась,стандарт,нет,3.5,5,717,0.35,Товары для детей,2,6,7,3
215530,Снизилась,стандарт,да,3.9,5,508,0.4,Домашний текстиль,1,6,3,3
215531,Снизилась,стандарт,да,4.2,4,184,0.34,Кухонная посуда,1,6,4,2
215532,Снизилась,стандарт,да,4.1,4,828,0.35,Товары для детей,3,4,4,7
215533,Снизилась,стандарт,да,4.2,4,944,0.35,Домашний текстиль,2,0,5,7
215534,Снизилась,премиум,нет,4.0,4,419,0.93,Товары для детей,1,9,3,3
215535,Снизилась,стандарт,нет,2.6,3,302,0.31,Товары для детей,2,1,1,7
215536,Снизилась,стандарт,нет,3.8,3,898,0.4,Кухонная посуда,3,6,2,5
215537,Снизилась,премиум,да,3.9,4,705,0.99,Косметика и аксесуары,3,3,7,4
215538,Снизилась,премиум,да,1.5,5,788,0.89,Товары для детей,1,4,4,4
215539,Снизилась,стандарт,да,2.4,4,953,0.4,Товары для детей,4,3,3,4
215540,Снизилась,премиум,да,1.4,5,355,0.33,Мелкая бытовая техника и электроника,1,1,5,5
215541,Снизилась,стандарт,нет,4.4,4,616,0.27,Товары для детей,1,7,4,2
215542,Снизилась,стандарт,нет,3.4,4,622,0.28,Косметика и аксесуары,3,1,4,4
215543,Снизилась,премиум,нет,1.5,5,335,0.21,Товары для детей,2,0,5,3
215544,Снизилась,стандарт,да,2.4,4,1025,0.4,Кухонная посуда,3,2,5,6
215545,Снизилась,стандарт,да,4.6,4,755,0.94,Кухонная посуда,3,7,5,5
215546,Снизилась,стандарт,да,4.0,4,549,0.31,Товары для детей,4,3,2,4
215547,Снизилась,премиум,нет,2.6,3,308,0.89,Домашний текстиль,2,8,6,5
215548,Снизилась,стандарт,да,3.5,4,903,0.35,Кухонная посуда,3,1,3,4
215549,Снизилась,премиум,да,2.6,3,683,0.28,Товары для детей,1,5,3,6
215550,Снизилась,премиум,да,3.0,4,434,0.24,Косметика и аксесуары,1,8,3,2
215551,Снизилась,премиум,да,2.6,3,983,0.21,Косметика и аксесуары,4,2,2,7
215552,Снизилась,стандарт,да,0.9,4,624,0.89,Косметика и аксесуары,1,9,5,1
215553,Снизилась,стандарт,да,0.9,4,360,0.33,Домашний текстиль,2,3,3,5
215554,Снизилась,стандарт,да,3.4,3,1017,0.35,Кухонная посуда,3,5,2,7
215555,Снизилась,стандарт,нет,4.1,5,348,0.89,Товары для детей,2,2,4,2
215556,Снизилась,стандарт,нет,2.7,4,742,0.39,Товары для детей,2,2,3,5
215557,Снизилась,премиум,да,4.1,4,770,0.28,Домашний текстиль,3,2,2,6
215558,Снизилась,стандарт,да,4.6,5,867,0.25,Кухонная посуда,2,6,3,5
215559,Снизилась,стандарт,да,4.4,3,701,0.3,Косметика и аксесуары,4,2,4,4
215560,Снизилась,стандарт,да,3.9,4,589,0.35,Товары для детей,2,6,4,3
215561,Снизилась,стандарт,нет,2.4,4,527,0.28,Косметика и аксесуары,2,7,4,3
215562,Снизилась,премиум,да,2.4,5,692,0.35,Домашний текстиль,1,7,1,2
215563,Снизилась,премиум,да,3.9,5,956,0.35,Косметика и аксесуары,2,2,6,7
215564,Снизилась,стандарт,нет,3.9,3,618,0.24,Техника для красоты и здоровья,2,10,3,5
215565,Снизилась,стандарт,нет,2.4,4,522,0.99,Кухонная посуда,2,5,4,4
215566,Снизилась,премиум,да,2.4,4,785,0.24,Товары для детей,3,1,3,6
215567,Снизилась,стандарт,да,3.4,3,853,0.24,Домашний текстиль,2,6,5,4
215568,Снизилась,премиум,да,4.0,5,1073,0.4,Товары для детей,4,2,3,3
215569,Снизилась,премиум,да,5.6,3,953,0.93,Косметика и аксесуары,2,1,3,6
215570,Снизилась,премиум,да,3.1,4,808,0.28,Косметика и аксесуары,3,2,3,6
215571,Снизилась,стандарт,да,4.8,5,483,0.39,Косметика и аксесуары,2,7,1,2
215572,Снизилась,стандарт,да,3.5,4,676,0.32,Техника для красоты и здоровья,3,7,3,3
215573,Снизилась,стандарт,да,4.1,4,706,0.99,Кухонная посуда,2,6,2,6
215574,Снизилась,премиум,да,3.0,4,951,0.22,Домашний текстиль,2,5,2,6
215575,Снизилась,стандарт,да,3.1,4,435,0.23,Кухонная посуда,3,0,7,2
215576,Снизилась,премиум,да,4.0,5,840,0.4,Косметика и аксесуары,3,1,5,5
215577,Снизилась,стандарт,да,3.9,3,564,0.93,Техника для красоты и здоровья,3,4,2,5
215578,Снизилась,стандарт,да,2.4,4,699,0.35,Мелкая бытовая техника и электроника,2,4,5,3
215579,Снизилась,стандарт,нет,3.6,3,710,0.36,Товары для детей,3,5,2,1
215580,Снизилась,премиум,да,4.4,4,966,0.28,Мелкая бытовая техника и электроника,3,3,2,4
215581,Снизилась,стандарт,да,4.0,3,171,0.25,Товары для детей,3,4,3,5
215582,Снизилась,стандарт,да,4.0,3,763,0.35,Товары для детей,3,3,2,3
215583,Снизилась,стандарт,нет,3.8,4,623,0.24,Домашний текстиль,1,7,5,4
215584,Снизилась,стандарт,нет,3.4,4,731,0.34,Косметика и аксесуары,3,2,6,2
215585,Снизилась,премиум,да,3.9,4,1044,0.3,Кухонная посуда,3,5,6,5
215586,Снизилась,премиум,да,4.1,4,557,0.94,Техника для красоты и здоровья,1,8,3,3
215587,Снизилась,премиум,да,4.6,4,800,0.93,Домашний текстиль,4,2,5,4
215588,Снизилась,стандарт,да,3.9,5,529,0.36,Домашний текстиль,2,6,2,1
215589,Снизилась,стандарт,да,4.8,5,574,0.27,Косметика и аксесуары,2,0,8,5
215590,Снизилась,стандарт,нет,2.4,4,427,0.29,Товары для детей,5,8,3,4
215591,Снизилась,стандарт,нет,5.6,4,631,0.4,Товары для детей,3,1,2,2
215592,Снизилась,премиум,да,4.6,4,486,0.22,Товары для детей,3,2,3,2
215593,Снизилась,премиум,нет,4.6,3,947,0.33,Товары для детей,6,8,3,5
215594,Снизилась,стандарт,да,4.2,4,627,0.9,Товары для детей,6,9,5,8
215595,Снизилась,стандарт,да,3.9,3,332,0.3,Домашний текстиль,2,5,5,1
215596,Снизилась,стандарт,да,1.5,4,684,0.9,Косметика и аксесуары,3,0,2,4
215597,Снизилась,стандарт,нет,4.4,5,868,0.4,Домашний текстиль,2,7,8,5
215598,Снизилась,премиум,да,3.0,3,449,0.89,Товары для детей,1,5,3,6
215599,Снизилась,стандарт,да,3.4,4,716,0.28,Домашний текстиль,2,9,4,6
215600,Снизилась,стандарт,да,2.4,4,446,0.29,Кухонная посуда,1,6,3,4
215601,Снизилась,премиум,да,0.9,4,468,0.23,Техника для красоты и здоровья,1,6,4,4
215602,Снизилась,премиум,да,3.5,4,1072,0.35,Техника для красоты и здоровья,3,7,5,5
215603,Снизилась,стандарт,да,1.4,4,556,0.33,Косметика и аксесуары,2,3,3,2
215604,Снизилась,стандарт,нет,3.1,5,458,0.99,Косметика и аксесуары,1,5,3,4
215605,Снизилась,премиум,да,3.9,4,637,0.24,Кухонная посуда,3,5,2,6
215606,Снизилась,стандарт,нет,3.5,5,428,0.3,Кухонная посуда,2,4,2,3
215607,Снизилась,премиум,да,3.0,3,862,0.94,Косметика и аксесуары,1,5,2,8
215608,Снизилась,премиум,нет,3.5,3,816,0.35,Косметика и аксесуары,3,2,3,5
215609,Снизилась,премиум,да,3.8,5,636,0.94,Косметика и аксесуары,3,2,6,3
215610,Снизилась,стандарт,да,4.6,4,684,0.25,Товары для детей,3,4,4,6
215611,Снизилась,стандарт,да,3.9,3,519,0.4,Товары для детей,1,8,3,5
215612,Снизилась,премиум,нет,4.4,3,255,0.94,Домашний текстиль,3,5,7,7
215613,Снизилась,стандарт,да,4.4,4,627,0.93,Техника для красоты и здоровья,3,7,3,4
215614,Снизилась,стандарт,да,4.0,3,952,0.22,Кухонная посуда,4,5,1,5
215615,Снизилась,стандарт,да,2.4,4,205,0.28,Кухонная посуда,1,5,4,2
215616,Снизилась,стандарт,нет,4.0,5,862,0.25,Товары для детей,2,7,6,5
215617,Снизилась,стандарт,да,0.9,4,728,0.9,Домашний текстиль,2,3,2,4
215618,Снизилась,стандарт,нет,4.1,5,657,0.35,Товары для детей,2,6,2,4
215619,Снизилась,премиум,да,4.8,3,789,0.28,Косметика и аксесуары,2,4,3,3
215620,Снизилась,премиум,да,1.7,4,704,0.32,Косметика и аксесуары,1,6,3,4
215621,Снизилась,премиум,да,3.5,3,1076,0.22,Кухонная посуда,4,3,3,7
215622,Снизилась,стандарт,нет,3.1,5,639,0.28,Косметика и аксесуары,2,5,4,4
215623,Снизилась,стандарт,да,3.4,4,519,0.9,Товары для детей,2,4,4,3
215624,Снизилась,премиум,нет,2.4,4,399,0.35,Косметика и аксесуары,2,4,3,3
215625,Снизилась,стандарт,да,4.1,4,464,0.94,Косметика и аксесуары,2,5,1,3
215626,Снизилась,стандарт,да,2.7,5,171,0.95,Товары для детей,1,1,2,2
215627,Снизилась,стандарт,да,4.0,3,451,0.89,Домашний текстиль,2,4,3,2
215628,Снизилась,стандарт,да,4.0,4,618,0.93,Товары для детей,3,5,2,2
215629,Снизилась,стандарт,да,4.0,3,627,0.4,Домашний текстиль,3,4,3,6
215630,Снизилась,стандарт,нет,3.8,3,388,0.21,Косметика и аксесуары,2,7,2,2
215631,Снизилась,стандарт,нет,4.6,5,345,0.28,Товары для детей,2,2,1,1
215632,Снизилась,премиум,да,4.0,3,933,0.24,Домашний текстиль,4,4,4,5
215633,Снизилась,премиум,да,4.4,4,693,0.3,Мелкая бытовая техника и электроника,2,2,3,2
215634,Снизилась,премиум,да,2.6,4,780,0.99,Косметика и аксесуары,2,7,3,6
215635,Снизилась,премиум,да,4.1,3,839,0.22,Домашний текстиль,4,1,5,6
215636,Снизилась,стандарт,да,3.5,5,749,0.3,Товары для детей,1,6,5,6
215637,Снизилась,стандарт,да,2.4,5,553,0.24,Кухонная посуда,3,3,1,2
215638,Снизилась,стандарт,да,2.4,4,549,0.3,Кухонная посуда,1,6,3,2
215639,Снизилась,премиум,да,2.7,5,845,0.32,Товары для детей,2,2,5,4
215640,Снизилась,стандарт,да,2.4,4,251,0.32,Техника для красоты и здоровья,2,7,1,5
215641,Снизилась,премиум,да,4.1,4,666,0.99,Товары для детей,2,3,7,6
215642,Снизилась,премиум,да,3.8,4,962,0.3,Косметика и аксесуары,2,2,2,5
215643,Снизилась,премиум,да,4.8,4,672,0.39,Товары для детей,1,5,4,6
215644,Снизилась,премиум,да,3.5,5,929,0.99,Техника для красоты и здоровья,3,3,4,5
215645,Снизилась,стандарт,да,4.4,4,582,0.99,Косметика и аксесуары,1,4,2,4
215646,Снизилась,стандарт,нет,2.9,3,657,0.24,Товары для детей,4,0,3,4
215647,Снизилась,стандарт,да,3.9,5,529,0.22,Товары для детей,2,7,2,2
215648,Снизилась,стандарт,да,3.0,5,537,0.27,Кухонная посуда,3,6,5,2
215649,Снизилась,стандарт,да,4.6,4,718,0.32,Товары для детей,1,5,5,3
215650,Снизилась,стандарт,нет,3.1,3,810,0.89,Домашний текстиль,4,4,4,3
