id;Прибыль
215541;4,48
215542;4,11
215543;2,55
215544;3,84
215545;3,17
215546;4,51
215547;3,45
215548;3,84
215549;3,27
215550;4,2
215551;4,08
215552;4,33
215553;3,01
215554;4,01
215555;5,79
215556;4,51
215557;5,44
215558;3,12
215559;3,58
215560;3,08
215561;6,59
215562;3,89
215563;6,88
215564;2,7
215565;4,32
215566;2,69
215567;3,84
215568;5,49
215569;2,34
215570;5,25
215571;3,45
215572;3,25
215573;4,74
215574;3,77
215575;3,17
215576;4,33
215577;4,26
215578;3,88
215579;3,92
215580;4,25
215581;4,34
215582;5,06
215583;4,95
215584;4,32
215585;4,59
215586;4,17
215587;3,68
215588;3,1
215589;4,64
215590;4,14
215591;5,31
215592;3,3
215593;3,12
215594;4,27
215595;4,52
215596;4,21
215597;3,62
215598;3,99
215599;2,6
215600;4,65
215601;4,28
215602;4,31
215603;4,5
215604;4,86
215605;2,96
215606;4,19
215607;5,12
215608;5,35
215609;4,29
215610;4,61
215611;2,29
215612;4,43
215613;5,99
215614;3,52
215615;4,17
215616;3,49
215617;3,06
215618;2,77
215619;5,12
215620;5,04
215621;4,66
215622;2,98
215623;3,55
215624;2,59
215625;2,57
215626;4,36
215627;4,92
215628;4,11
215629;3,87
215630;3,77
215631;3,47
215632;3,91
215633;4
215634;2,97
215635;3,54
215636;4,64
215637;3,52
215638;4,94
215639;5,74
215640;5,14
215641;4,6
215642;3,48
215643;5,59
215644;2,86
215645;2,49
215646;4,79
215647;4,06
215648;4,28
215649;5,71
215650;2,54
215651;5,15
215652;4,4
215653;3,54
215654;2,75
215655;4,01
215656;3,25
215657;3,45
215658;5,4
215659;4,13
215660;4,42
215661;2,8
215662;3,98
215663;3,69
215664;3,99
215665;4,82
215666;4,02
215667;3,7
215668;4,49
215669;4,08
215670;4,27
215671;3,73
215672;1,48
215673;4,55
215674;2,72
215675;4,31
215676;5,1
215677;3,98
215678;4,67
215679;3,99
215680;3,69
215681;4,79
215682;4,13
215683;3,63
215684;5,7
215685;4,33
215686;3,07
215687;3,68
215688;2,88
215689;4,65
215690;5,66
215691;4,28
215692;2,09
215693;3,56
215694;2,41
215695;4,36
215696;2,88
215697;5,02
215698;5,1
215699;4,25
215700;4,59
215701;5,05
215702;1,82
215703;2,86
215704;4,55
215705;4,3
215706;3,22
215707;2,49
215708;3,04
215709;4,32
215710;3,59
215711;3,53
215712;3,66
215713;4,42
215714;4,85
215715;4,87
215716;4,07
215717;4,28
215718;4,84
215719;5,28
215720;2,94
215721;4,33
215722;3,75
215723;3,34
215724;2,9
215725;5,06
215726;2,5
215727;3,82
215728;4,18
215729;3,48
215730;4,12
215731;3,25
215732;3,51
215733;2,78
215734;4,87
215735;2,9
215736;3,43
215737;4,8
215738;5,25
215739;4,81
215740;4,66
215741;4,29
215742;3,64
215743;5,07
215744;3,26
215745;5,1
215746;3,26
215747;3,32
215748;4,11
215749;6,17
215750;2,39
215751;2,6
215752;4,06
215753;3,82
215754;2,69
215755;3,35
215756;5,23
215757;3,27
215758;2,95
215759;2,85
215760;5,49
215761;2,6
215762;2,33
215763;2,43
215764;3,58
215765;5,37
215766;3,74
215767;3,83
215768;5,61
215769;4,98
215770;4,09
215771;5
215772;4,51
215773;3,74
215774;3,35
215775;1,38
215776;4,06
215777;5,69
215778;3,74
215779;3,3
215780;4,22
215781;3,34
215782;4,48
215783;5,6
215784;3,84
215785;5,23
215786;1,55
215787;5,56
215788;4,26
215789;4,79
215790;4,19
215791;2,93
215792;3,24
215793;3,7
215794;1,37
215795;3,79
215796;2,61
215797;4,41
215798;5,06
215799;2,48
215800;4,88
215801;4,42
215802;4,5
215803;4,85
215804;4,08
215805;4,48
215806;2,93
215807;4,49
215808;4,61
215809;4,76
215810;2,13
215811;5,12
215812;4,37
215813;4,54
215814;2,63
215815;4,13
215816;5,62
215817;2,43
215818;3,4
215819;2,94
215820;6,09
215821;4,31
215822;3,45
215823;5,42
215824;3,66
215825;4,51
215826;3,22
215827;2,99
215828;3,3
215829;4,05
215830;5,29
215831;2,75
215832;5,3
215833;3,85
215834;2,6
215835;4,78
215836;3,05
215837;5,95
215838;4,76
215839;5,13
215840;3,2
215841;3,89
215842;1,33
215843;4,68
215844;2,79
215845;3,76
215846;3,51
215847;6,44
215848;2,23
215849;3,33
215850;3,12
215851;3,32
215852;2,98
215853;4,31
215854;5,2
215855;5,55
215856;3,14
215857;4,77
215858;4,37
215859;4,4
215860;5,34
215861;3,89
215862;5,41
215863;4,42
215864;2,97
215865;4,35
215866;4,18
215867;3,8
215868;5,58
215869;4,1
215870;4,2
215871;4,09
215872;3,34
215873;3,74
215874;3,62
215875;2,21
215876;4,82
215877;3,15
215878;2,53
215879;3,72
215880;4,23
215881;2,53
215882;3,15
215883;2,99
215884;4,37
215885;3,89
215886;4,26
215887;4,52
215888;3,85
215889;4,48
215890;3,74
215891;4,98
215892;4,23
215893;3,16
215894;5,64
215895;5,16
215896;3,73
215897;6,24
215898;3,1
215899;5,26
215900;4,19
215901;3,85
215902;4,32
215903;4,55
215904;2,35
215905;3,43
215906;3,36
215907;3,77
215908;5,26
215909;4,55
215910;4,61
215911;5,26
215912;3,73
215913;3,74
215914;5,3
215915;3,5
215916;3,72
215917;4,18
215918;3,62
215919;4,62
215920;4,66
215921;4,63
215922;4,64
215923;2,92
215924;3,16
215925;3,4
215926;4,47
215927;5,35
215928;3,66
215929;4,04
215930;2,77
215931;5,33
215932;3,17
215933;4,05
215934;4,4
215935;3,85
215936;4,49
215937;2,66
215938;2,59
215939;2,57
215940;2,09
215941;3,63
215942;3,5
215943;4,52
215944;2,93
215945;3,73
215946;2,51
215947;4,46
215948;4,6
215949;3,15
215950;4,51
215951;4,29
215952;4,4
215953;4,11
215954;2,71
215955;4,11
215956;2,35
215957;5,95
215958;3,91
215959;5,88
215960;4,61
215961;4,08
215962;4,47
215963;4,5
215964;3,67
215965;3,72
215966;2,35
215967;4,88
215968;3,04
215969;2,45
215970;3,51
215971;4,79
215972;3,2
215973;3,54
215974;3,96
215975;1,64
215976;3,85
215977;4,02
215978;4,27
215979;4,7
215980;3,75
215981;3,61
215982;5,01
215983;5,57
215984;4,31
215985;6,78
215986;2,39
215987;4,16
215988;5,1
215989;3,71
215990;3,49
215991;3,43
215992;2,07
215993;4,29
215994;3,72
215995;1,92
215996;2,13
215997;3,89
215998;5,07
215999;5,53
216000;3,75
216001;4,6
216002;4,28
216003;4,87
216004;5,15
216005;4,21
216006;4,24
216007;2,59
216008;4,82
216009;3,91
216010;4,23
216011;4,23
216012;4,17
216013;4,9
216014;4,45
216015;3,6
216016;1,68
216017;3,38
216018;3,59
216019;3,27
216020;4,74
216021;3,67
216022;5,13
216023;2,81
216024;4,6
216025;4,33
216026;5,25
216027;3,1
216028;4,09
216029;5,29
216030;4,77
216031;5,81
216032;3,15
216033;5,29
216034;4,83
216035;5,68
216036;5,03
216037;5,23
216038;4,33
216039;3,11
216040;4,3
216041;3,37
216042;3,33
216043;4,62
216044;4,8
216045;3,05
216046;4,56
216047;3,95
216048;2,6
216049;4,87
216050;5,06
216051;2,85
216052;3,5
216053;4,18
216054;3,93
216055;4,71
216056;3,13
216057;4,61
216058;6,58
216059;1,84
216060;4,38
216061;4,5
216062;3,06
216063;2,54
216064;3,4
216065;4,46
216066;4,99
216067;4,14
216068;3,67
216069;4,77
216070;3,27
216071;4,35
216072;3,27
216073;3,17
216074;5,9
216075;3,42
216076;2
216077;4,74
216078;2,97
216079;2,33
216080;1,64
216081;3,61
216082;4,37
216083;3,6
216084;3,78
216085;3,79
216086;2,66
216087;4,11
216088;4,52
216089;3,58
216090;4,41
216091;5,16
216092;4,09
216093;4,18
216094;2,39
216095;3,91
216096;3,36
216097;3,82
216098;5,1
216099;3,97
216100;2,64
216101;4,17
216102;4,55
216103;4,77
216104;5,1
216105;5,04
216106;3,46
216107;5,1
216108;4,37
216109;4,66
216110;4,95
216111;4,72
216112;5,14
216113;5,33
216114;5,36
216115;4,06
216116;3,85
216117;2,76
216118;3,63
216119;4,93
216120;3,82
216121;3,05
216122;0,86
216123;4,41
216124;4,75
216125;2,48
216126;2,66
216127;3,71
216128;4,48
216129;4,87
216130;2,98
216131;2,93
216132;2,34
216133;3,6
216134;1,92
216135;6,02
216136;4,38
216137;2,39
216138;5,37
216139;4,35
216140;3,83
216141;1,97
216142;3,3
216143;3,73
216144;4,4
216145;4,78
216146;2
216147;4,94
216148;2,91
216149;4,34
216150;4,13
216151;6,13
216152;3,91
216153;3,21
216154;3,48
216155;4,78
216156;3,59
216157;3,95
216158;4,27
216159;2,73
216160;6,16
216161;4,69
216162;2,97
216163;3,89
216164;4,56
216165;7,02
216166;4,76
216167;4,36
216168;4,31
216169;5,61
216170;4,49
216171;3,45
216172;4,17
216173;3,45
216174;4,12
216175;4,56
216176;3,31
216177;4,12
216178;3,98
216179;5,67
216180;4,44
216181;4,72
216182;4,31
216183;3,86
216184;4,84
216185;4,66
216186;6,29
216187;3,17
216188;4,33
216189;5,34
216190;4,23
216191;5,39
216192;4,01
216193;3,97
216194;3,87
216195;5,22
216196;5,56
216197;3,1
216198;3,33
216199;3,17
216200;4,61
216201;5,56
216202;4,32
216203;2,26
216204;4,36
216205;2,18
216206;4,14
216207;4,11
216208;3,87
216209;2,46
216210;6,65
216211;2,86
216212;4,26
216213;2,36
216214;3,06
216215;4,41
216216;3,57
216217;3,52
216218;4,4
216219;3,77
216220;3,82
216221;3,23
216222;4,46
216223;3,03
216224;3,99
216225;4,02
216226;4,85
216227;3,84
216228;1,39
216229;3,59
216230;3,68
216231;2,87
216232;4,94
216233;4,62
216234;5,23
216235;4,37
216236;4,39
216237;4,04
216238;4,62
216239;4,63
216240;5,72
216241;3,91
216242;3,65
216243;2,79
216244;5,31
216245;4,92
216246;3,89
216247;2,77
216248;5,12
216249;4,71
216250;2,24
216251;3,79
216252;5,52
216253;2,51
216254;3,03
216255;3,2
216256;2,81
216257;4,23
216258;2,82
216259;4,3
216260;4,2
216261;4,5
216262;4,62
216263;5,38
216264;4,44
216265;3,47
216266;4,87
216267;3,69
216268;6,81
216269;4,75
216270;3,17
216271;3,05
216272;3,72
216273;3,09
216274;4,2
216275;3,14
216276;5,75
216277;3,12
216278;3,7
216279;3,49
216280;2,83
216281;3,15
216282;2,32
216283;4,74
216284;4,71
216285;5,18
216286;1,08
216287;3,87
216288;3,81
216289;4,85
216290;3,9
216291;3,99
216292;4,67
216293;3,29
216294;4,15
216295;2,68
216296;5,42
216297;5,25
216298;5,07
216299;2,44
216300;3,98
216301;4,34
216302;4,67
216303;4,69
216304;3,34
216305;5,34
216306;4,81
216307;3,16
216308;4,13
216309;2,37
216310;4,06
216311;4,81
216312;4,54
216313;2,02
216314;4,62
216315;4,13
216316;5,37
216317;5,15
216318;4,83
216319;3,49
216320;3,73
216321;3,95
216322;2,38
216323;4,39
216324;0,86
216325;4,73
216326;4,69
216327;3,23
216328;2,98
216329;2,42
216330;4,44
216331;2,16
216332;3,6
216333;4,52
216334;4,84
216335;3,84
216336;6,09
216337;4,35
216338;3,46
216339;3,94
216340;5,15
216341;2,59
216342;2,72
216343;2,93
216344;2,93
216345;5,39
216346;3,5
216347;3,68
216348;4,89
216349;2,32
216350;4,89
216351;3,29
216352;5,27
216353;3,35
216354;3,39
216355;3,19
216356;3,26
216357;5,02
216358;5,15
216359;5,21
216360;5,01
216361;4,28
216362;2,26
216363;3,06
216364;3,1
216365;3,63
216366;3,87
216367;3,1
216368;5,25
216369;4,31
216370;4,12
216371;5,35
216372;4,06
216373;4,61
216374;7,21
216375;5,87
216376;5,11
216377;5
216378;2,95
216379;3,68
216380;3,43
216381;3,05
216382;5,94
216383;4,65
216384;4,57
216385;2,13
216386;4,37
216387;4,89
216388;4,63
216389;4,91
216390;2,85
216391;4,58
216392;3,68
216393;4,38
216394;5,37
216395;5,22
216396;2,15
216397;4,75
216398;3,87
216399;1,57
216400;3,26
216401;3,79
216402;2,99
216403;5,4
216404;4
216405;3,3
216406;4,69
216407;5,32
216408;3,21
216409;2,15
216410;4,74
216411;3,26
216412;4,14
216413;4,86
216414;5,05
216415;3,56
216416;4,1
216417;6,4
216418;5,12
216419;4,38
216420;3,25
216421;4,89
216422;3,67
216423;3,66
216424;2,19
216425;4,15
216426;3,74
216427;2,82
216428;3,55
216429;5,28
216430;3,16
216431;5,56
216432;2,85
216433;5,03
216434;5,25
216435;3,86
216436;3,23
216437;4,34
216438;4,15
216439;4,32
216440;3,81
216441;1,87
216442;5,1
216443;2,92
216444;3,38
216445;3,45
216446;4,47
216447;4,15
216448;5,74
216449;4,27
216450;4,8
216451;3,81
216452;4,91
216453;4,64
216454;2,9
216455;4,04
216456;1,95
216457;1,54
216458;4,67
216459;3,57
216460;5,29
216461;3,91
216462;4,73
216463;2,36
216464;4,33
216465;2,03
216466;4,47
216467;5,87
216468;4
216469;4,54
216470;3,37
216471;4,92
216472;4,38
216473;4,25
216474;3,37
216475;5,01
216476;3,9
216477;4,67
216478;3,62
216479;1,82
216480;3,94
216481;4,32
216482;3,76
216483;3,7
216484;2,08
216485;3,44
216486;4,25
216487;5,19
216488;3,83
216489;5,49
216490;3,7
216491;4,08
216492;1,68
216493;5,95
216494;5,1
216495;3,84
216496;4,52
216497;3,57
216498;4,26
216499;4
216500;4,15
216501;2,24
216502;3,69
216503;3,27
216504;5,53
216505;5,08
216506;5,8
216507;4,28
216508;4,21
216509;2,57
216510;3,76
216511;3,49
216512;4
216513;2,6
216514;5,15
216515;3,49
216516;4,78
216517;5,5
216518;4,22
216519;3,21
216520;3,42
216521;4,15
216522;5,15
216523;3,33
216524;3,48
216525;4,6
216526;5,11
216527;3,26
216528;3,12
216529;3,87
216530;5,23
216531;4,19
216532;2,1
216533;6,59
216534;2,44
216535;4,3
216536;3,35
216537;3,05
216538;2,81
216539;3,27
216540;3,99
216541;5,75
216542;2,35
216543;2,59
216544;3,58
216545;3,42
216546;4,04
216547;3,98
216548;3,78
216549;5,44
216550;4,26
216551;3,45
216552;3,94
216553;3,75
216554;5,66
216555;4,12
216556;4,97
216557;4,82
216558;4,85
216559;4,23
216560;5,13
216561;3,53
216562;5,55
216563;3,38
216564;5,58
216565;4,58
216566;2,86
216567;4,76
216568;3,93
216569;3,07
216570;2,07
216571;2,27
216572;3,89
216573;5,09
216574;2,9
216575;1,82
216576;3,2
216577;4,91
216578;4,83
216579;4,77
216580;4,41
216581;3,47
216582;4,78
216583;5,42
216584;5
216585;3,3
216586;4
216587;2
216588;2,57
216589;2,13
216590;3,63
216591;4,57
216592;3,77
216593;3,09
216594;3,47
216595;3,09
216596;4,66
216597;2,9
216598;2,43
216599;4,06
216600;3,64
216601;4,87
216602;3
216603;5,28
216604;2,88
216605;2,11
216606;3,09
216607;4,91
216608;3,32
216609;4,18
216610;3,61
216611;4,1
216612;4,43
216613;5,13
216614;5,49
216615;5,6
216616;2,75
216617;2,98
216618;4,15
216619;4,84
216620;5,25
216621;2,54
216622;5,14
216623;4,92
216624;3,72
216625;4,12
216626;4,45
216627;3,88
216628;3,42
216629;5,64
216630;6,1
216631;4,61
216632;4,24
216633;3,39
216634;2,88
216635;3,15
216636;4,25
216637;3,97
216638;3,63
216639;3,26
216640;3,95
216641;4,5
216642;5,63
216643;4,44
216644;6,11
216645;3,29
216646;4,03
216647;3,28
