name,status
"BLUERIDGE Analytics, Inc.",closed
FreeStride Therapeutics,operating
Orderbook,closed
Guesthouse Network,closed
Smooch Labs Inc.,operating
Telesta Therapeutics,closed
FOREVERVOGUE.COM,operating
Target Business Capital,operating
Verticly,closed
Angaza,closed
AgilOne,operating
Centice,operating
SHEEX,operating
USMD,closed
Taia Global,operating
Action Audio Apps,operating
Silver Fox Events,operating
Respirics,closed
Semantics3,operating
M Squared Lasers,operating
neoSurgical,closed
Dishable,operating
Everest,operating
Bixti.com,closed
RAZ Mobile,operating
FiveCubits,operating
Larotec,operating
Duck Duck Moose,operating
Arts & Analytics,operating
Learnerator,closed
Organic Pizza Kitchen,closed
WebStudiyo Productions,closed
Outitude,closed
Tesoro Enterprises,operating
trinket,closed
CarZen,closed
MyTelemedicine.com,operating
ORIC Pharmaceuticals,closed
Datasnap.io,closed
in2apps,closed
Warwick Analytical Software Limited,closed
VIP SOUL,closed
Distributed Energy Management,operating
Skyrider,closed
RouterShare,operating
Drone Aviation,closed
Fastly,closed
Physiostream,closed
MediaCore,operating
DooBop,closed
"Radio Revolution Network, LLC",operating
Delighted,closed
Oshiboree,closed
Secant Therapeutics,closed
YOHO,closed
PlayFirst,closed
Maguru.dk,closed
DoubleDutch,operating
S.Chand & Company,operating
Evergage,operating
AllTranz,operating
Global Analytics,operating
Beijing iChao Online Science and Technology,closed
Modenus Media,closed
IceCream,closed
Wave3Studio,closed
LaunchCenter 39,closed
Becker College,operating
SOV Therapeutics,closed
DogVacay,closed
DemandTec,closed
CanvasFilp,closed
Cyto Wave Technologies,operating
Charm City Food Tours,operating
Digital Health Outcomes,operating
VeriCenter,closed
Mangstor,closed
audibene,operating
Inventure Enterprises,operating
Gazillion Entertainment,operating
Coradiant,closed
Lifeables,closed
"Likeminder, Inc.",operating
Hobo Labs,closed
BlueAnatomy,closed
SBA Bank Loans,operating
BorderX Lab,closed
Banister Works,closed
Harri,closed
Phantom Fiber,closed
GraphAlchemist,closed
Arsenal Medical,closed
A&L Technology,closed
Jmdedu.com,operating
IntelinAir,operating
Zixi,operating
Dodonation,closed
Kotak Urja,operating
Ninsight Broadcast,closed
Morgan Daniels Training Ltd,closed
Jaeger,closed
BioMimetix Pharmaceutical,operating
BOATHOUSE ROW SPORTS,operating
Keiz Marshall Performing Arts Academy,closed
Mithridion,closed
Skyepack,operating
ArrowPoint Communications,operating
eTukTuk,operating
Wiral Internet Group,operating
RxData,operating
Zefanclub,operating
Synchronicity.co,closed
All in One Medical,operating
Trendy Butler,closed
Flipora,closed
TriState Capital,closed
Vuzix,closed
GetYou,closed
Undercover Colors,closed
Journeys,operating
SafetyTat,closed
Société Internationale de Plantations d'Hévéas,closed
aXess america,operating
Browsarity,operating
ArtBinder,operating
First V1sion,operating
Seesmic,closed
Irynsoft,closed
OneCubicle,operating
Emergent Payments,operating
Fair Winds Brewing,closed
Believe.in,closed
MegaHoot,closed
MedTel.com,operating
Farmainstant,closed
Bontact,closed
UeeeU.com,closed
OmniSky,operating
3Dmena,closed
iCatapult,operating
SquadLocker,operating
SameDay Security,closed
peerfit,operating
Toucan Global,operating
Eve,operating
ACTIV Financial Systems,operating
NORCAT,operating
ibabybox,closed
Algenetix,closed
eyetok,operating
Sapience Analytics Private Limited,closed
Red Mango,closed
Myndbee Inc.,closed
Matricore,closed
YUME kids wear,operating
Citydeal.de,operating
isaac10 GmbH,closed
IPLSHOP Brasil,closed
Cazoodle,closed
Reality Crowd TV Media Corporation,closed
Cityblis,closed
Keebitz,operating
"Workiva, Inc.",closed
MindEdge,operating
Wrike,operating
TUTORize,closed
People Interactive (India),closed
PSYLIN NEUROSCIENCES,closed
Aidhenscorner,operating
DoubleVerify,operating
Versium,closed
Achieve Financial Services,closed
Playbuzz,operating
FanTrail,operating
Implicit Monitoring Solutions,operating
US Toxicology,operating
Omnireliant,operating
Wiseryou,closed
Ampex,closed
Blueshift International Materials,closed
Arctic Island LLC,closed
Kapost,operating
GiveGab,operating
Antera Therapeutics,operating
MECLUB,operating
Koibanx,closed
Fluency,closed
WITS(MD),operating
Vimessa,operating
Solulink,operating
Tailor Made Oil,operating
Indochino,closed
Wallix,closed
Wivo,closed
Averna,operating
Overture Technologies,closed
Bluespec,closed
Boom Financial,operating
DerbySoft,operating
Matchmaker Videos,closed
Brandwatch,closed
OnSite Access,closed
DvineWave,operating
Kalibrr,closed
Helios Towers Africa,closed
SPF Solutions,operating
wezzoo,operating
Syndero,operating
Ardelyx,closed
Post-A-Vox,operating
One On One,operating
ACCESS Bill Pay Services,operating
MacroGenics,operating
Anthology Solutions,operating
EcoPort,closed
Training Intelligence,closed
NXTM,closed
Picofemto,closed
Bancha,closed
InfoReady,closed
Virtual Web,closed
Uklipz Social Media Inc,closed
Manflu,closed
Apani Networks,operating
United LED Corporation,operating
AirCell,closed
Adjacent Applications,closed
"MoveableCode, Inc.",operating
Aptean,closed
ClaraStream,closed
Myngle,operating
Plutio,closed
Hydro-Photon,operating
UsabilityTools,operating
American Discount Pharmacy Crop,closed
Testif,operating
Endorse,operating
Aniboom,operating
ES Holdings,closed
Frilp,operating
Ucha.se,operating
Immune Therapeutics,operating
eeden,operating
OneAccess,operating
Xumii,operating
Bamatea,operating
VIP Parking,closed
Ingeliance,closed
tripMD,operating
Iron Will Innovations,closed
TicketFire,operating
Afoundria,operating
Specialized Tech,operating
Lawnmower,closed
The Ahtlete's Business Network,closed
SBR Health,closed
Energy Harvesters LLC,operating
WetFeet,closed
Seneco,operating
TeleRetail Corporation,closed
dacadoo,closed
Money Forward,closed
Enertec Systems,closed
Accelerate Diagnostics,closed
ArcSoft,operating
E-Generator,operating
Power OLEDs,closed
Doctor At Work,operating
Active Life Scientific,operating
Moya Okruga,operating
EsLife,closed
Cordium,closed
ExTractApps,closed
SpotHero,operating
Blowhorn,closed
Loki Studios,closed
BrightSide Software,operating
GemShare,closed
Raynforest,operating
IBUonline,operating
VSware,closed
Ortopedio.pl,closed
Comic Wonder,closed
EXPO Communications,operating
JamLegend,operating
Brainlike,operating
Marginize,operating
ShoutEm,operating
Yardbarker Network,closed
Cloudintelligence,closed
Apprats,closed
NEURA Energy Systems,operating
Observe Design,closed
Food Quality Sensor International,closed
CTS Media,operating
payleven,operating
MyGrove Media,closed
BroadWare Technologies,operating
Line-Up,operating
Wish,closed
Quartix,operating
BragThis.com,closed
Yagomart,closed
Vylkira Games,closed
Cinnamon Social,closed
NexCura,closed
Kippt,closed
Advanced Marketing & Media Group,operating
Stellarray,operating
MainStreet Bank,operating
Personera,closed
Clio,closed
HowDo,closed
Mplife.com,operating
Roojoom,operating
Sideband Networks,closed
getupp,operating
TutorTap,operating
Intelligent Mobile Support,closed
Greendimes,operating
Medpike,closed
"Thoughtful Research, Inc.",closed
Modern Guild,closed
Furious Corp,closed
Telnext Communications,operating
Adelphic,closed
Montondo Trailer,operating
Wibbu,operating
YouChe.com,operating
Flexis,closed
Pique Therapeutics,closed
Circle Technology,closed
CARsgen Therapeutics,operating
CentrPort,operating
NoteWagon,operating
The Better Software Company,operating
PriceWaiter,operating
Atlantis Computing,operating
MyOptique Group,closed
Daintree Networks,operating
start A FIRE,operating
Green Earth Aerogel Technologies,operating
6connect,operating
BioScience,closed
JustFab,operating
MoneyLion,closed
Dot Medical,operating
Mondeca,operating
JH Network,operating
Blooom,operating
Greenline Industries,operating
Bonial International Group,closed
Going Green Today,closed
Adtile Technologies Inc.,closed
Petizens.com,closed
Socar,closed
RenovoRx,closed
Eka Systems,operating
ZOOT,closed
Certify Data Systems,closed
Urbita,closed
CopperGate Communications,closed
fishfishme,operating
Little,operating
Govini,operating
BidRazor,operating
Handy,closed
Vigme,closed
RootsRated,closed
DailyWorth,operating
CromoUp,operating
AgraQuest,operating
TrenStar,closed
Nanotech Semiconductor,operating
BlueTurtleBio Technologies,closed
UDR,closed
EDP Biotech,operating
Viirt,closed
Gotta'go Personal Care Device,closed
Hungrio,operating
Fiveworx,closed
Trapit,closed
Breadcrumbtracking,operating
How do you roll?,operating
Autonet Mobile,closed
Tourism4me,operating
Tobuy,operating
iHydrate,closed
Linkfluence,closed
Skyatlas,closed
Panda Security,closed
International Gaming League,operating
FreeAgent,closed
Mu Dynamics,operating
Gigfairy,closed
Datavail,closed
EverString,closed
NeuroBionics,closed
mVakil - Track Court Cases Live,operating
Monstar Lab,closed
BedyCasa,operating
Flow Traders,operating
Playhem,closed
CrowdRating,operating
Nusirt,operating
Cooper's Classics,closed
SelfDrvn Enterprise Pte Ltd,closed
Spock,closed
Get your job!,operating
Alpha (fitness),operating
Touristlink,operating
Aramsco,closed
Simpirica Spine,closed
XPD Media,closed
Zoliro,closed
Bidu Corretora,closed
Cerapedics,closed
Andoayudando.com,operating
Ammado AG,operating
GameTube,operating
Diffusion Pharmaceuticals,closed
Netherin Enterprises,operating
BookDoc,closed
ViewCast,operating
SCONTO DIGITALE,closed
Vtrim,operating
Knowta,closed
Shopilist,closed
DameJidlo,operating
Captain Wise,operating
Novalys,closed
Top100.cn,closed
Petsy,closed
ICE Technologies,operating
Attender,operating
Greener Expressions,closed
Genuine People,operating
Spectral Edge,operating
Factual,operating
Rockbot,closed
MyPermissions,operating
Shopear,closed
Laiyaoyao,operating
L2C,operating
Organics Rx,operating
Theranostics Health,closed
ThinkSmart,closed
RegeneMed,closed
Tiger Pistol,operating
TheFamily,closed
MTPV,closed
Control4,closed
Surgery Center at Tanasbourne,closed
Tasteful,closed
B-Side Entertainment,closed
Energy Focus,closed
MoboFree,operating
InstantQ,operating
Genomic Vision,operating
Antelope Surgical Navigation,closed
SenseLabs (formerly Neurotopia),closed
Undertone,closed
Ozmosis,closed
Class Travel Pty Ltd,closed
LibriLoop,operating
CloudWork,closed
CEVEC Pharmaceuticals,operating
CDI Bioscience,operating
BriefCam,closed
SummuS Render,operating
ALUHEAT,operating
PresseTrends.com,operating
CloudAcademy,closed
Blue Triangle Technologies,operating
Vitalea Science,operating
Dailymotion,closed
Linkable Networks,closed
Raymedica,closed
Incluyeme.com,operating
Accendo Therapeutics,closed
"Yaga, Inc.",operating
BestSecret.com,closed
Outcomes for Children,operating
Pinger,closed
Shop pirate,closed
WellTek,operating
Hiveplay,operating
"hopOn, Inc.",closed
DVDPlay,closed
120 Sports,closed
Mr Banana,operating
CliniCast,operating
3sun,closed
VATBox,operating
Actionality,operating
Valencell,operating
Piku Media K.K.,closed
Squirro,operating
ProNewTech S.A.,closed
SuiteLinq,operating
DataGravity,operating
Advalight,closed
Ravenflow,operating
Avalon Solutions Group,closed
FRNZ labs,operating
Streamworks Products Group(SPG),closed
Worldzen Holdings,closed
Poetica,operating
PartyWithMe,operating
HiveLive,closed
Oldelft Ultrasound,operating
Resonant Sensors Inc.,closed
Pombai,closed
Health2Sync,closed
Eureka Therapeutics,closed
Cybronics,operating
Insureon,operating
Trusted Opinion,operating
Gemisimo,closed
Toutiao,closed
Genable Technologies Ltd.,closed
Eat Kid Friendly,operating
Indoorgo Navigation Systems ltd.,closed
Medyria,closed
Language Logistics,operating
Chemayi,closed
Tour Desk,operating
Survios,operating
"Ryan-O, Inc",operating
Plutus Software,operating
eSNF,operating
RegulatoryBinder,closed
EmployeeReferrals.com,closed
Sirion Therapeutics,closed
EstatesDirect.com,closed
Koru,closed
Onyvax,operating
I & Combine,operating
MarkMonitor,closed
AdsWizz,operating
Gaiacom Wireless Networks,closed
artaculous,closed
B-sm@rk,closed
Polygon Games,operating
Heavenly Foods,closed
C4Robo,closed
Limei Advertising,operating
CareerImp,closed
Brite Health,closed
Stor Networks,operating
Identification Solutions,operating
Dyme.co,operating
Unsocial,closed
Wovn,closed
RepUp,closed
MyCheck,operating
ConjuChem,closed
Aiming,closed
Zola,closed
Litigain,closed
Popularo,closed
Hit Streak Music,closed
John Carroll University,closed
Glaxstar,closed
Airsynergy,operating
LiB,closed
QBotix,closed
TenXc Wireless,closed
BlackStar Technologies,closed
Dauntless Pharmaceuticals,operating
The Optima,closed
Quadia Online Video,closed
SonarMed,closed
Crowd Fusion,closed
MotherKnows,operating
Primary Real Estate Solutions,operating
Shift Payments,operating
Aegis Oil,operating
Rhythm Networks,operating
DIY Shop,operating
Itaro,operating
BasicGov Systems,closed
Capital Match,closed
Source3,closed
Discoverly,operating
CorkSharing,closed
CureDM,closed
The Surgical Center,closed
BrabbleTV.com LLC,closed
NexGear,closed
Deminos,operating
Bright Willow,operating
Flypad,closed
SmartSynch,operating
Jottr,closed
RegainGo,operating
Akustica,closed
Orthocone,closed
SiliconStor,closed
Tripshare,operating
PhotoSecure,operating
PayDragon,closed
Pathogen Systems,operating
Vouchercloud,operating
Shizen Energy Inc.,closed
TapZilla,operating
AdWired,operating
Acendre,closed
Struq,closed
Pepscan,operating
One Africa Media,operating
EveryMove,closed
Australian American Mining Corporation,closed
Micro Tempus Inc.,closed
IQ Logic,closed
Zhijiang Jonway Automobile,operating
Pound Rockout Workout,operating
GreenOffOn,closed
nestpick,closed
Fantasy Feud,operating
Beijing Infinite World,closed
Adstrix,operating
Carbon Salon,operating
Body Labs,operating
Citizens Rx,operating
Corventis,closed
Ornicept,closed
Global Yodel,closed
Music Kickup,operating
c6 Software Corporation,operating
Masteriya,operating
Better Schools Project,operating
eTool.io,operating
Prozo.com,closed
Mpex Pharmaceuticals,closed
HeadSense Medical,closed
Chatty,operating
Vendobots,operating
EasyTek,operating
Edison Nation,operating
Solidagex,closed
Nexosis,closed
Concerto Healthcare,closed
Pando Networks,closed
Salix Pharmaceuticals,closed
Teddy The Guardian,operating
Tasted Menu,operating
Trov,operating
MobilyTrip,closed
Snapbridge Software,operating
CleveX,operating
"Solebrity, Inc.",operating
Socotra,closed
Baxi,operating
Zambah,closed
Knomad,closed
"Lend Street Financial, Inc.",operating
Zepteon,operating
MyFitnessPal,closed
ExtremeOcean Innovation,closed
Everyone Counts,operating
Xerographic Document Solutions,operating
Anchor Fabrication,operating
AppsFunder,operating
TransUnion,closed
PHYSICIANS IMMEDIATE CARE,closed
SoftGenetics,operating
World Surveillance Group,closed
makr,operating
Agrostar,closed
ActiveSec,operating
Actus Digital,operating
Benesight,operating
Global Online Devices,operating
Perez Forensic Strategies,operating
CareDox,operating
Attunity,closed
LinkCloud,operating
Greenling,closed
Winnin,operating
Simplificare,operating
Emay Softcom,closed
IASIS Healthcare,operating
"Icagen, Inc.",closed
Stylight,operating
Rakuten,closed
Community Leader,closed
ThreatTrack Security,closed
Unowhy,closed
Jigsaw Meeting,operating
Desert Industrial X-Ray,closed
FASTNET,operating
Gordian Surgical,closed
geoLOGIC,operating
Analyte Logic,operating
Kinems Learning Games,operating
IdenIve,operating
Philoptima,operating
Volance,closed
Avidbank Holdings,operating
Travel Desiya,operating
Recommendo,operating
Centrix Software,closed
The Nature Conservancy,closed
Ektitaby,closed
Jordan Valley Semiconductors,closed
Optichron,closed
SMITH (formerly Ascentium),operating
NEXT Co,closed
AbsolutData,operating
Sixth Domain,operating
Eridan Technology,closed
Mogi,operating
Grab Media,operating
Skribit,operating
EgTran,operating
Entropic,closed
Grid20/20,operating
Voyence,closed
Xompass,operating
OurOldGroup,closed
Vir-Sec,operating
Glowpoint,closed
MicroPower Global,operating
Mask.it,operating
SafeShot Technologies,operating
Kollabora,operating
Mlog,operating
BullseyeEngagement,closed
Outsource Partners International,operating
Mobile Patrol,closed
Arkivum,closed
Voy al Doc,closed
Ambow Education,closed
Life On Air,operating
"Xylo, Inc",operating
Nexamp,operating
ClubKviar,closed
Elderscan,operating
PathCentral,operating
Sovi,operating
Spry Hive Industries,operating
Hello Heart,operating
Backupify,closed
sulekha.com,closed
Attainia,operating
Pomello,operating
Flirq,closed
FuelFilm,closed
RedSeguro,operating
Hampoo Science & Technology,operating
MBDC Media,operating
Spinback,closed
Zazoom Media Group,closed
CompuPay,closed
Taquilla,closed
PulmOne,closed
Apostrophe Apps,closed
Live Life 360,closed
Abukai,closed
Hospitality Leaders,closed
Slide,operating
E-Mist Innovations,operating
HelloDisplay,operating
NanoPack,operating
Rhone Apparel,operating
kompany,operating
PDV,operating
"nextSociety, Inc.",operating
Foxy's Pash Frozen Yogurt,closed
DiscoveryBioMed,closed
Gesto Saúde e Tecnologia,closed
Onramp BioInformatics,operating
Ferris,operating
Smallbusiness.com,closed
Axine Water Technologies,operating
Mitrionics,operating
Urban Owl Eyewear,closed
ROLI,operating
Mister Mario,operating
Intouch,operating
StatAce,operating
Wecash,closed
Neven Vision,closed
Enterprise Productivity Software (EPS) Corp.,closed
9+ Program,closed
Therma Flite,closed
SeatWish,operating
NationWide Primary Healthcare Services,operating
Sportboom,closed
Yuenimei,operating
Customizer Storage Solutions,closed
MyFrontSteps,closed
Toma Biosciences,closed
Cardiac Pathways Corp,operating
Imaxio,operating
Higher Learning Technologies(HLT),closed
Main Street Genome,operating
I AM AT,operating
Viscose Closures,operating
Calm.io,closed
YottaMark,closed
Senor Sirloin,operating
Vertical Wind Energy,operating
Celebrations.com,operating
Kolorific,operating
SponDoolies-Tech,closed
MediaSite,closed
Gate2Play,operating
Over60,operating
SterraClimb,operating
Legimi,closed
Silent Communication,closed
Linko Inc.,closed
BRANDiD - Shop. Like a Man.,operating
kidthing,closed
Expensify,closed
GymHit,operating
ClearCube,operating
Parrot,operating
Gigalocal,closed
Communify Health,closed
AeroScout,operating
Fortinet,closed
Advanced Search Laboratories,closed
SeeClickFix,closed
American Oil Solutions,closed
Potentia Power Systems,closed
viseto,closed
Medical Reimbursements of America,operating
traceMyWay,closed
SEE Forge,operating
Buzzwire,closed
EyeCyte,operating
MRPEasy,closed
Melodigram,closed
Panacela Labs,operating
CleanApp,operating
Digium,operating
Pinnacle Transplant Technologies,closed
Globe Wireless,operating
Kura MD,closed
Emair,closed
Webpgr,operating
Tingbot,operating
Mingly,operating
Bank of Georgetown,operating
Keex,closed
Keyi Technology,closed
Winster,operating
AZTherapies,operating
Respondly,closed
Mswipe Technologies,operating
Gameyola,operating
ShopFully,closed
CircuitLab,operating
Total Attorneys,closed
Cleveland Clinic,operating
Silo Labs,closed
LatinCoin,closed
Recomio,closed
Brainspace Corporation,closed
Qvella Corporation,closed
Intersoft Eurasia,operating
Swidjit,closed
Kimerick Technologies,closed
Weiboagent,closed
Melty,closed
EduVision Retail Technologies (Fastudent),closed
Snapsort,operating
Pendix GmbH,closed
MocoSpace,closed
Hivebeat,closed
Aternity,operating
Pansieve,operating
WeLink,operating
Firecomms,operating
Interface Masters,operating
JagTag,operating
Wokup,operating
Kidoodle,closed
Wuhan Kindstar Diagnostics,closed
Wizpert,operating
TipCity,closed
Spoke,operating
Realty 398,operating
General Assembly,closed
Cox Enterprises,operating
AirVM,closed
Orthogem,closed
Vital Energi,closed
OpenX,closed
Mine Shaft Brewing,closed
Sprout Pharmaceuticals,closed
HistoWiz,operating
Stentys,closed
San Marcos Springs,closed
Power Mech Projects,operating
Energryn,operating
New Ed Inc,operating
ChargeSpot,closed
MEDeCOACH,closed
Impact Engine,operating
PERORA,operating
b spot,closed
Snoball,operating
SolvAxis,operating
VBOX,closed
TiVUS,closed
Kaeuferportal,operating
Beestar,operating
Mango,closed
Webjam,operating
mmCHANNEL,operating
CrossFirst Bank,operating
BioLeap,operating
Barunsoft,closed
Nova Ideas,closed
Xelerated,closed
BioRegenerative Sciences,closed
California Arts Council,operating
Pipeline Biomedical Holdings,operating
GigMasters,closed
Flix Innovations Ltd,operating
IPV,operating
Bill's Transport,closed
Princeton eCom,closed
Active Endpoints,closed
Springfield Healthcare,closed
TrueLens,closed
Mobile Medical Testing,operating
"Field Agent, Inc.",operating
Alkymos,operating
ClickGanic,closed
Nugg-it,closed
Experenti,closed
DepoMed,operating
InstallShield Software Corporation,operating
Mr Po Media,closed
Zero Emission Energy Plants (ZEEP),closed
dcBLOX Inc.,operating
G3,closed
Energatix Studio,closed
Breezeworks,closed
Parchment,operating
Mercaris,operating
Fraud Sciences,closed
Seamless Medical Systems,closed
R&D Altanova,operating
IR Media Ventures,closed
Content Ramen,closed
OFACS LLC,operating
La Miu,operating
Decru,closed
Plethora Technology,operating
Innoz,closed
Instapio,operating
Meal In A Jar,closed
Stringify,operating
Isis Parenting,operating
Flux Factory,operating
Apartment Adda,closed
Pheed,operating
Nabsys,closed
Dragonfly List,operating
Geoforce,closed
365Scores,closed
ThinkSuit,operating
Azelon Pharmaceuticals,operating
Traffline,operating
VFA,closed
Lixto Software,closed
Lighter Living,operating
GeneWEAVE,operating
20Dresses,operating
PickUpPal,closed
payworks,operating
K-PAX Pharmaceuticals,closed
Laboratoire M2,closed
Urban Planet Media & Entertainment,closed
iHealthNetworks,operating
Dialoggy,closed
CommutePays,closed
kurv,operating
Greencloud Technologies,closed
Ember Therapeutics,operating
Sagoon,closed
Proximus,closed
Viewabill,operating
Kiwi Crate,closed
Betfair,operating
Boost My Ads,closed
Hyperloop Data,operating
Cartnav,operating
Moov cc.,operating
TNI medical,closed
foosye™,operating
Sight Machine,closed
Senior Cottage,closed
Camino Financial,closed
Ayla,operating
Gecko Health Innovations Inc. (formerly GeckoCap),closed
Popular Pays,operating
TheStylisted,closed
WholeWorldBand,operating
LightPointe,closed
PriceMatch,closed
EnOcean,operating
KUN RUN Biotechnology,closed
Check4cancer Ltd,closed
ServiceFrame,closed
PrimeRevenue,closed
Modebo,operating
Hunner Retail India Private Limited,closed
ClickMechanic,closed
ToneDen,closed
Emitless,operating
Taembe.com,operating
ThisNext,operating
DFKI,operating
Agorize,closed
RobArt,closed
Member Benefits,operating
Everseat,closed
RightNow Technologies,closed
Cubikal,closed
Gracelock Industries,operating
Wonder Forge,operating
MedSynergies,closed
NeoAccel,closed
Access Integrated Healthcare,operating
Jiffi,operating
Ebookpie,closed
WindGen Power Products,operating
Biodico,closed
Orbeus,closed
Eventap,operating
Piggydreams,operating
Qwire Holdings,closed
Social Touch,closed
Motiga,operating
FILLD,closed
Barkibu,operating
AdGent Digital,closed
AnyMeeting,operating
Amba Defence,operating
WorldCover,operating
Doctor.com,operating
Atlas Powered,closed
roomlinx,operating
Responsys,closed
Restlet,operating
